Country,Date-of-Decision,Fine-Amount,Quoted-Art
SPAIN,2024-11-07,"2,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2024-12-03,300,Art. 13 GDPR
SPAIN,2024-10-31,"12,000",Art. 58 (1) GDPR
SPAIN,2024-10-31,"4,000",Art. 58 (1) GDPR
SPAIN,2024-10-04,900,Art. 58 (2) GDPR
ROMANIA,2025-01-20,"15,000","Art. 32 (1) b) GDPR, Art. 32 (4) GDPR"
ROMANIA,2025-01-17,"2,000","Art. 32 (1) b) GDPR, Art. 32 (2) GDPR"
ROMANIA,2025-01-23,"5,000","Art. 32 (1) b) GDPR, Art. 32 (2) GDPR"
FINLAND,2024-12-17,"950,000","Art. 5 (1) f) GDPR, Art. 25 (1), (2) GDPR, Art. 32 (1), (2) GDPR"
THE NETHERLANDS,2024-11-26,"4,750,000","Art. 5 (1) a) GDPR, Art. 12 (1) GDPR, Art. 13 (1) c), e), f) GDPR, Art. 13 (2) GDPR, Art. 15 (1) a), c), d) GDPR"
SPAIN,2024-09-26,"1,300,000","Art. 5 (1) f) GDPR, Art. 5 (1) c) GDPR, The Spanish DPA has imposed a fine of EUR 1.3 million on TELEFÓNICA DE ESPAÑA SAU. The controller had reported a security incident to the DPA, stating that they had suffered a cyber attack that allowed unauthorised third parties to access personal customer data via an employee's account. During its investigation, the DPA found that the controller had failed to implement appropriate technical and organisational measures to protect personal data that could have prevented such an incident. The fine is composed as follows: EUR 500,000 for the violation of Art. 5 (1) f) GDPR and EUR 800,000 for the violation of Art. 32 GDPR."
THE NETHERLANDS,2024-12-23,"40,000","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR"
SPAIN,2024-11-22,"220,000","Art. 15 GDPR, Art. 35 GDPR"
SPAIN,2024-11-06,"1,000","Art. 5 (1) c) GDPR, Art. 13 GDPR"
SPAIN,2024-10-31,900,Art. 58 (2) GDPR
SPAIN,2024-11-13,500,Art. 6 GDPR
SPAIN,2024-12-10,"4,000,000","Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 35 GDPR"
CYPRUS,2024-09-04,"3,000",Art. 31 GDPR
ITALY,2024-11-13,"678,897","Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GPDR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR"
FRANCE,2025-02-04,"40,000","Art. 5 (1) c) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR, Art. 35 GDPR"
POLAND,2024-01-17,"273,000","Art. 5 (1) a), f) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR, Art. 13 (1), (2) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR"
ITALY,2024-11-27,"892,783","Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 12 GDPR, Art. 15 GDPR, Art. 22 GDPR, Art. 24 GDPR, Art. 28 GDPR, he Italian DPA has imposed a fine of EUR 892,738 on E.ON Energia spa for unlawfully processing personal data for telemarketing. The investigation was triggered by complaints from two individuals who received unsolicited calls and did not receive responses to their requests to exercise their rights under the GDPR.
It was found that when the electricity and gas supplies were activated, consents of data subjects were recorded incorrectly. E.ON failed to take appropriate measures to verify the accuracy of the consent given by customers and the corresponding data stored in the systems, which resulted in telemarketing being carried out without a lawful basis.
Furthermore, the DPA found that there was a lack of sufficient control and training of the employees responsible for these activities.
In another case, E.ON stated that the calls were made in response to a request from the data subject to be contacted, submitted in the context of a Facebook advertising campaign. However, the data subject stated that they were never registered on Facebook.
Along with the fine, E.ON was ordered to implement measures to ensure future compliance with data protection regulations."
SPAIN,2024-10-17,"1,000",Art. 58 (2) GDPR
BELGIUM,2024-12-17,"200,000","Art. 5 (1) f) GDPR, Art. 24 GDPR, Art. 32 GDPR, Art. 35 (3) GDPR"
ITALY,2024-12-12,"20,000","Art. 5 GDPR, Art. 9 GDPR, Art. 2-septies (8) Codice della privacy"
SPAIN,2024-11-13,"2,500","Art. 5 (1) f) GDPR, Art. 32 GDPR"
ITALY,2024-12-14,"2,000",Art. 37 (7) GDPR
ITALY,2024-12-14,"2,000",Art. 37 (7) GDPR
ITALY,2024-09-12,"842,062","Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 130 Codice della privacy, The Italian DPA has fined Sky Italia EUR 842,062 for unlawful telemarketing. The investigation revealed that Sky contacted individuals without proper consent, including those registered in advertising opt-out lists and those who had given consent before the GDPR came into force—without reassesing its validity under the updated legal framework. Additionally, the documentation of consents obtained from data providers was deemed inadequate, as Sky stored consent details in modifiable Excel files, failing to ensure clear and verifiable proof of user consent."
SPAIN,2024-12-18,"100,000","Art. 13 GDPR, Art. 32 (1) GDPR, The Spanish DPA has imposed a fine of EUR 100,000 on the real estate management company ATRIUM LEX SFC. An investor had filed a complaint with the DPA because the controller had requested a copy of the investor's ID card to enable them to receive information about a project. The DPA found that the controller had not provided sufficient information about this data processing and that the sending of copies of ID cards by email was not sufficiently secure. The DPA assessed this as a violation of Art. 13 GDPR and Art. 32 (1) GDPR."
SPAIN,2024-12-23,"300,000","Art. 6 (1) GDPR, Art. 28 GDPR"
SPAIN,2024-11-11,"200,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2024-11-22,"220,000","Art. 15 GDPR, Art. 35 GDPR"
ITALY,2024-11-13,"5,000,000","Art. 5 (1) a), c), d), e) GDPR, Art. 6 GDPR, Art. 9 (2) b) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 22 (3) GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR, Art. 35 GDPR, Art. 88 GDPR, Art. 2-septies Codice della privacy, Art. 114 Codice della privacy, Art. 47-quinquies Decreto legislativo 81/2015, The Italian DPA has fined the food delivery service Foodinho Srl EUR 5 million for unlawfully processing the data of approximately 35,000 drivers and for several violations of the GDPR. The DPA's investigation revealed that the company collected drivers' location data without their knowledge or consent—not only during working hours but also when the app was running in the background or inactive. Additionally, the DPA found that the company shared driver data with third parties without a valid legal basis. The investigation also uncovered that automated data processing was used for functions such as the evaluation system and task allocation during shifts, but the company had failed to implement necessary GDPR measures, such as allowing human intervention or enabling drivers to contest decisions made through the automated systems. Furthermore, biometric data, including facial recognition, was used without a valid legal basis. The investigation also revealed that drivers whose accounts were blocked received only standardized messages, with no information provided about their rights to appeal."
SPAIN,2023-12-27,"6,500,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2024-12-23,"15,000",Art. 58 (2) GDPR
SPAIN,2024-12-16,"70,000",Art. 5 (1) c) GDPR
ITALY,2024-07-17,"5,000,000","Art. 5 (1) a), b), d), e), f) GDPR, Art. 5 (2) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 24 GDPR, Art. 28 GDPR, Art. 32 GDPR"
ITALY,2024-06-06,"1,000,000","Art. 12 (3) GDPR, Art. 15 GDPR"
SPAIN,2025-01-17,"16,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"12,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"88,000",Art. 5 (1) f) GDPR
ITALY,2024-06-20,"1,000,000","Art. 5 (1) a), c), e) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 12 (1), (3) GDPR, Art. 13 GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 18 GDPR, Art. 19 GDPR, Art. 20 GDPR, Art. 21 GDPR, Art. 22 GDPR, Art. 24 (1) GDPR, Art. 25 GDPR, Art. 130 Codice della privacy"
SPAIN,2025-02-05,"1,200,000","Art. 6 GDPR, Art. 25 GDPR"
FRANCE,2024-09-12,"800,000","Art. 5 (1) a) GDPR, Art. 66 Loi n° 78-17 du 6 janvier 1978"
SPAIN,2024-02-06,"5,000,000","Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, The Spanish DPA (AEPD) has fined ENERGYA VM GESTIÓN DE ENERGÍA, S.L. EUR 5 million following an investigation into unlawful personal data processing by Nivalco, a company contracted by Energya VM to make sales calls to customers. During these calls, customers were misled into providing additional personal data to conclude a new energy supply contract. The AEPD determined that Energya VM acted as the 'data controller' for the processing of this personal data, as it provided Nivalco with a sales script, thereby influencing the data processing. However, Energya VM failed to comply with GDPR requirements, particularly by not conducting a risk assessment for Nivalco's data processing activities"
FINLAND,2024-11-13,"2,400,000",Art. 6 (1) GDPR
SPAIN,2024-05-31,"600,000","Art. 6 (1), Art. 9 (2) GDPR, Art. 14 GDPR"
ROMANIA,2025-02-20,"2,000",Art. 32 GDPR
SPAIN,2024-12-23,"9,000",Art. 58 (2) GDPR
SPAIN,2024-12-23,600,Art. 58 (1) GDPR
SPAIN,2024-12-23,"2,000",Art. 58 (2) GDPR
SPAIN,2025-01-16,"400,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"8,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"80,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"200,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"76,000",Art. 5 (1) f) GDPR
UNITED KINGDOM,2024-09-26,"904,000","Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR"
GREECE,2024-05-27,"400,000","Art. 5 (1) f) GDPR, 32 GDPR, 25 (1) GDPR, 33 (3), (4), (5) GDPR"
SPAIN,2024-02-07,"3,000,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
SPAIN,2024-02-05,"3,500,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
GREECE,2024-05-27,"40,000","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 14 GDPR"
FRANCE,2024-04-04,"525,000","Art. 6 GDPR, Art. 14 GDPR, Art. L.34-5 CPCE"
UNITED KINGDOM,2025-03-26,"3,500,000","Art. 32 (1) GDPR, The UK DPA (ICO) has fined Advanced Computer Software Group Ltd £3.07 million (EUR 3.5 million) for insufficient IT security (infringiment of Art. 32 (1) UK GDPR). The controller failed to implement appropriate technical and organisational measures to protect personal data. A ransomware attack in August 2022 allowed hackers to access systems of a health subsidiary via a customer account that lacked multi-factor authentication. As a result, the personal data of 79,404 individuals was put at risk."
SPAIN,2024-12-12,"3,500,000","Art. 5 (1) f) GDPR, Art. 25 GDPR"
POLAND,2025-03-17,"6,300,000",Art. 6 (1) GDPR
SPAIN,2025-02-25,"200,000",Art. 6 (1) GDPR
SPAIN,2025-02-14,"200,000",Art. 6 (1) GDPR
UNITED KINGDOM,2025-04-14,"70,300","Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR, Art. 33 (1) GDPR, The UK DPA (ICO) has imposed a fine of £ 60,000 (EUR 70,300) on the law firm DPP Law Ltd. The controller had suffered a cyber attack during which personal data of 791 clients and expert witnesses were exfiltrated and published on the dark web.

The DPA found that the controller failed to implement adequate technical and organisational measures to prevent such an attack, including the failure to regularly audit administrative accounts on its network, thereby infringing Art. 5 (1) f), 32 (1), and 32 (2) UK GDPR.

The controller also breached Art. 33 (1) UK GDPR by failing to notify the DPA within 72 hours, reporting the incident only 43 days later."
SPAIN,2025-04-04,"120,000",Art. 6 (1) GDPR
SPAIN,2025-02-05,"500,000",Art. 28 GDPR
SPAIN,2025-03-28,"120,000","Art. 5 (1) f) GDPR, The Spanish DPA imposed a fine on SERVICIOS ESPECIALES, S.A. The case concerned a GDPR breach during an internal workplace conflict investigation: the company shared a report via email that included the full names, roles, and complaint details of the individuals involved, to the Works Committee and 15 additional employees. The DPA found this disclosure violated Article 5 (1) f) GDPR, as it failed to ensure the confidentiality of personal data. The original fine of EUR 200,000 was reduced to EUR 120,000 due to voluntary payment and acknowledgment of responsibility."
GERMANY,,2024,Art. 31 GDPR
GERMANY,,2024,Art. 31 GDPR
SPAIN,2025-02-11,"120,000",Art. 5 (1) f) GDPR
NORWAY,2025-03-10,"338,000","Art. 24 (1), (2) GDPR, Art. 37 (7) GDPR, Art. 38 (2), (3) GDPR"
SPAIN,2025-02-25,"600,000",Art. 5 (1) f) GDPR
SPAIN,2024-12-20,"1,000,000",Art. 35 GDPR
SPAIN,2025-01-17,"12,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"10,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"8,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"12,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"12,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"8,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-16,"72,000",Art. 5 (1) f) GDPR
SPAIN,2025-01-17,"12,000",Art. 5 (1) f) GDPR
IRELAND,2025-05-02,"530,000,000","Art. 13 (1) f) GDPR, Art. 46 (1) GDPR, The Irish DPA (DPC) has fined TikTok EUR 530 million. In its decision, the DPC found, that TikTok infringed Art. 13 (1) f) GDPR and Art. 46 (1) GDPR due to the unlawful transfer and storage of personal data from users in the EEA on Chinese servers. TikTok was unable to verify, guarantee and demonstrate that the supplementary measures and the Standard Contractual Clauses were effective to guarantee that the data afforded a level of protection, which is equivalent of the level of protection guaranteed in the EU. TikTok also failed to inform the data subjects, that their personal data is transferred to a third country. The fine consists of a fine of EUR 45 million for the failure to inform the data subjects and a fine of EUR 485 million for the infringement of Art. 46 (1) GDPR. The DPC also ordered TikTok to bring their processes into compliance with the GDPR within 6 months after the period allowed for an appeal against the DPCs final decision."
SPAIN,2025-02-14,"200,000","Art. 5 (1) f) GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 200,000 on ORANGE BANK, S.A. SUCURSAL EN ESPAÑA. The AEPD reacted to multiple complaints of private individuals regarding a data leak. ORANGE BANK (the controller) used a data processor for the processing of personal data. ORANGE BANK was unable to ensure that necessary technical and organizational measures had been taken, resulting in the infringement of Art. 5 (1) f) GDPR. Additionally, the AEPD decided that the present infringement is particularly serious, due to the fact, that ORANGE BANK processes large amounts of data resulting in an increased demand towards the internal processes regarding data protection and security. Lastly the AEPD ordered ORANGE BANK to bring their processes into compliance with the GDPR within 6 months after the decision becomes final and enforceable."
SPAIN,2025-03-14,"1,600,000",Art. 6 (1) GDPR
POLAND,2025-03-17,"23,500","Art. 5  (1) a) GDPR, Art. 6 (1) GDPR"
POLAND,2025-03-24,"17,600","Art. 6 (1) GDPR, Art. 9 (1) GDPR"
POLAND,2025-04-15,"7,800",Art. 5 (2) GDPR
POLAND,2025-03-11,"13,400","Art. 24 (1) GDPR, Art. 32 (1), (2) GDPR"
POLAND,2024-12-18,"135,600","Art. 38 (3) GDPR, Art. 30 (1) GDPR, Art. 35 (1), (7) GDPR, The Polish DPA fined a company in the banking sector EUR 135,600. The DPA inspected the fined company and found several violations of the GDPR. First, the company failed to ensure that the DPO could report directly to top management and that the DPO did not receive instructions on the performance of the tasks given to the DPO. Second, the company failed to include profiling in the list of data processing operations. Third, the company failed to conduct a privacy impact assessment regarding the use of profiling. The violation regarding the DPO resulted in a fine of EUR 61,600. The violation regarding the unlawful use of profiling resulted in a fine of EUR 74,000."
CZECH REPUBLIC,2023-08-02,,
ESTONIA,2024-07-15,"30,000",
ESTONIA,2025-01-10,,
LITHUANIA,2025-01-21,"9,000","Art. 5 (1) f) GDPR, Art. 24 (1) GDPR, Art. 32 (1) b), d) GDPR"
LITHUANIA,2024-10-18,"9,000","Art. 5 (1) f) GDPR, Art. 32 (1) b), c), d) GDPR, Art. 34 (2) GDPR"
SPAIN,2024-10-04,"5,000",Art. 6 (1) GDPR
SWEDEN,2025-04-23,"9,200",Art. 32 (1) GDPR
SWEDEN,2024-12-11,"18,400","Art. 6 (1) GDPR, Art. 13 GDPR"
DENMARK,2024-11-12,"6,700",
DENMARK,2024-11-27,,
ICELAND,2025-02-17,"34,300","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR"
CROATIA,2025-03-24,"80,000","Art. 5 (1) b) GDPR , Art. 6 (1) GDPR, Art. 32 (2), (4) GDPR, The Croatian DPA (AZOP) has imposed a fine of EUR 80,000 on a company. The company was responsible for monitoring parking lots at several supermarkets and a hospital. However, it accessed personal data – in particular license plate numbers and owner information – from the Croatian Ministry of the Interior's (MUP) vehicle registry without a valid legal basis. Access was gained via a web service that the company had secured the right to use in certain areas on the basis of a concession. However, the actual use went beyond the scope of this concession. In addition, a data processing agreement with the hospital was missing, the system was operated without appropriate technical and organizational protective measures, and there was no legal basis for processing the data. Thus, the company was fined for breaching Art. 5 (1) (b), Art. 6 (1), and Art.32 (2) and (4) GDPR."
CROATIA,2025-03-24,"40,000","Art. 5 (1) a), e) GDPR, Art. 6 (1) f) GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 38 (3), (6) GDPR, The Croatian DPA (AZOP) has imposed a fine of EUR 40,000 on a company that published personal data of sole traders on its website. The data originated from public sources and from the financial agency FINA. Although publicly accessible, the authority found that there was no valid legal basis for the publication. Furthermore, the company did not inform the data subjects about the processing of their data and did not properly document its processing activities. Another point of concern was that the data protection officer was also the managing director of the company, which constitutes a conflict of interest under the GDPR. Therefore, the company was fined for breaching Art. 5 (1) (a) and (e), Art. 6 (1) (f), Art. 12, Art. 14, Art. 30, and Art. 38 (3) and (6) GDPR."
CROATIA,2025-03-24,"20,000","Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR, The Croatian DPA (AZOP) imposed a fine of EUR 20,000 on a hospital for failing to implement adequate technical and organizational measures to protect personal data in line with Art. 32 (1) (b) and (d), and Art. 32 (2) GDPR. Following a cyberattack, it was revealed that over a period of seven days, at least 3 GB of personal data had been unlawfully copied from the system. The attacker allegedly gained access through social engineering and a VPN connection, exploited an outdated operating system, and obtained domain administrator rights. In addition to the data breach, numerous servers were locked, backups were deleted, and unauthorized executable files were launched. AZOP found that key security measures such as access restrictions, monitoring, incident response, and corrective actions were either missing or insufficient, which significantly contributed to the success of the attack."
CROATIA,2025-03-24,"4,000","Art. 13 GDPR, Art. 14 (2) f) GDPR, Art. 25 (1) GDPR, Art. 28 (3) GDPR, The Croation DPA (AZOP) has imposed a fine of EUR 4,000 on a hospital. The AZOP found that the hospital used a company which automatically retrieved personal data of vehicle owners via the Ministry of the Interior's web service without a legal basis, to issue parking fines for vehicle owners. Additionally, the hospital failed to inform parking users transparently and in accordance with legal requirements about the processing of their personal data related to parking fees. Furthermore, the hospital did not implement appropriate organizational measures to protect the data and lacked a contractual agreement with the external commercial company processing the data. The hospital was fined for breaching Art. 13, Art. 14 (2)(f), Art. 25 (1) and Art. 28(3) GDPR."
CROATIA,2025-03-24,"3,000","Art. 13 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 34 (1) GDPR, The Croation DPA (AZOP) has imposed a fine of EUR 3,000 on a hospital. Despite the extensive and high-risk processing of health data, the hospital had not implemented sufficient organizational measures to ensure the security of data processing. Specifically, measures to ensure the confidentiality of health information were lacking, which undermined trust in medical services and patient privacy. The hospital was fined for breaching Art. 13, Art.32, Art. 33, and Art. 34(1) GDPR."
CROATIA,2025-03-24,"12,000",Art. 37 GDPR
CROATIA,2025-03-24,"10,000",Art. 37 GDPR
FRANCE,2025-05-15,"900,000","Art. 6 GDPR, Art. 7 GDPR"
ITALY,2025-04-10,"5,000,000","Art. 5 (1) a), c) GDPR, Art. 6 GDPR,  Art. 12 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 (1) GDPR"
ITALY,2025-03-13,"50,000","Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 35 GDPR, Art. 88 GDPR"
BELGIUM,2025-04-22,"20,000","Art. 5 (1) a), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 14 (1), (2) GDPR, Art. 15 (1) c), d), g), Art. 24 (1) GDPR, Art. 25 (1) GDPR"
BELGIUM,2025-04-24,"6,000","Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 17 (1) GDPR, Art. 21 (2) GDPR"
LUXEMBOURG,2025-01-06,"175,000","Art. 12 (3), (4) GDPR, The DPA of Luxembourg has issued a fine of EUR 175,000 on a Credit Institution. The controller failed to respond to information requests within the timeframe specified in Art. 12 (3) of the GDPR."
FRANCE,2024-09-26,"250,000","Art. 5 (1) c), e) GDPR, Art. 9 GDPR, The French DPA imposed a fine of EUR 250,000 on COSMOSPACE. The controller is a company that offers personalized clairvoyance consultations by telephone. As part of its services, the controller regularly processed multiple categories of sensitive data (Art. 9 GDPR) without obtaining prior consent. The controller also stored customer data for six years after the end of the business relationship for marketing purposes. According to the French DPA, a maximum of three years would have been admissible. This resulted in a fine of EUR 200,000. The fine was increased by EUR 50,000 because the processor also infringed the French Post and Electronic Communications Code."
FRANCE,2024-09-26,"150,000","Art. 5 (1) e) GDPR, Art. 9 GDPR, The French DPA imposed a fine of EUR 150,000 on TELEMAQUE. The controller is a company that offers digital services in the field of divinatory arts, including fortune telling by SMS, VAS or online chat. As part of its services, the controller regularly processed multiple categories of sensitive data (Art. 9 GDPR) without obtaining prior consent. The controller also stored customer data for six years after the end of the business relationship for marketing purposes. According to the French DPA, three years would have been admissible. This resulted in a fine of EUR 100,000. The fine increased by EUR 50,000 because the processor also infringed the French Post and Electronic Communications Code."
SPAIN,2025-03-30,"3,500","Art. 5 (1) f) GDPR, Art. 32 GDPR, The Spanish DPA (AEPD) has imposed a fine of EUR 3,500 on MAD COOL FESTIVAL S.L. The controller suffered a data breach due to insufficient technical and organizational measures. The total fine consists of a fine of EUR 2,000 for infringing on Art. 5(1)(f) GDPR, and EUR 1,500 for the violation of Art. 32 GDPR. The total sum can be reduced by 20% (resulting in a fine of EUR 2,800) with timely payment."
SPAIN,2025-04-04,360,Art. 58 (1) GDPR
SPAIN,2025-04-09,600,Art. 5 (1) f) GDPR
SPAIN,2025-04-14,"3,000",Art. 5 (1) c) GDPR
SPAIN,2025-04-14,"6,000",Art. 28 GDPR
SPAIN,2025-04-15,600,Art. 5 (1) c) GDPR
SPAIN,2025-05-22,"1,200",Art. 6 (1) GDPR
SPAIN,2025-04-22,"1,200",Art. 6 (1) GDPR
SPAIN,2025-04-22,"12,000",Art. 32 GDPR
SPAIN,2025-04-22,"1,200",Art. 6 (1) GDPR
SPAIN,2025-04-03,600,Art. 5 (1) f) GDPR
GERMANY,,2024,
FRANCE,2025-05-15,"80,000","Art. 5 (1) e) GDPR, Art. 6 GDPR, The French DPA imposed a fine of EUR 80,000 on CALOGA. The controller is a company obtaining data from data brokers to use those for marketing purposes. The DPA found multiple infingements against the GDPR and the French Post and Electronic Communications Code. The controller failed to have sufficient legal basis for transferring data to third parties for advertising purposes. Additionally, the controller retained data longer than necessary."
GERMANY,,2024,
GERMANY,,2024,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR"
GERMANY,,2024,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR"
GERMANY,,2024,"Art. 5 (1) f) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR, Art. 32 GDPR"
GERMANY,,2024,"Art. 13 GDPR, Art. 31 GDPR, Art. 58 (2) d) GDPR"
GERMANY,,2024,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, The DPA of Hessen has imposed a fine of EUR 496,000 on a company. The DPA identified several GDPR violations, including transmitting customer data to the incorrect recipient and making marketing phone calls without a legal basis. The company was cooperative, a factor that the DPA considered when determining the total fine amount."
GERMANY,,2024,"Art. 6 (1) GDPR, Art. 7 GDPR"
GERMANY,,2024,
SPAIN,2025-05-08,"6,600","Art. 6 (1) GDPR, Art. 14 GDPR, Art. 32 GDPR"
SPAIN,2025-05-09,"6,600","Art. 6 (1) GDPR, Art. 14 GDPR, Art. 32 GDPR"
SPAIN,2025-05-09,"120,000",Art. 6 (1) GDPR
SPAIN,2025-05-19,"1,000",Art. 5 (1) f) GDPR
SPAIN,2025-03-20,"4,800",Art. 58 (1) GDPR
SPAIN,2025-03-20,500,Art. 5 (1) c) GDPR
SPAIN,2025-03-24,"2,000",Art. 5 (1) c) GDPR
GERMANY,,2025,Art. 28 (1) GDPR
FINLAND,2025-05-27,"1,100,000","Art. 5 (1) c), f) GDPR, Art. 32 (1), (2) GDPR"
ITALY,2025-04-29,"30,000","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR"
ITALY,2025-01-16,"100,000","Art. 5 (1) a), e), f), (2) GDPR, Art. 6 (1) a) GDPR, Art. 7 GDPR, Art. 12 (1), (2), (3) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 (2) GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 29 GDPR, Art. 30 GDPR, Art. 32 (1) b), d) (2) GDPR, Art. 35 GDPR, Art. 37 GDPR"
GREECE,2025-04-09,"5,000",Art. 15 GDPR
SPAIN,2025-03-28,"12,000","Art. 6 (1) GDPR, Art. 14 GDPR"
SPAIN,2025-03-28,"21,600","Art. 5 (1) e) GDPR, Art. 7 GDPR, Art. 28 GDPR"
SPAIN,2025-03-28,"4,000",Art. 15 GDPR
SPAIN,2025-03-28,"6,600","Art. 5 (1) c) GDPR, Art. 13 GDPR, Art. 32 GDPR"
SPAIN,2025-03-14,"3,200,000","Art. 5 (1) f) GDPR, Art. 32 GDPR, Art. 34 GDPR"
UNITED KINGDOM,2025-06-05,"2,700,000","Art. 5 (1) f) GDPR, Art. 32 GDPR"
IRELAND,2025-06-12,"550,000","Art. 5 (1) a), e) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR, Art. 13 (1) c) GDPR, Art. 13 (2) a) GDPR, Art. 35 (VII) b), c) GDPR"
NORWAY,2025-06-10,"22,000","Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR"
ROMANIA,2025-06-12,"10,000","Art. 32 (1) b), (2) GDPR"
ITALY,2025-04-10,"3,000,000","Art. 5 (1) a), f) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR"
ITALY,2025-04-10,"850,000","Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 28 GDPR, Art. 29 GDPR, Art. 31 GDPR, Art. 32 GDPR, Art. 58 (1) a) GDPR"
ITALY,2025-03-13,"15,000","Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 14 GDPR"
ITALY,2025-03-13,"2,000","Art. 5 (1) a) GDPR, Art. 6 (1) c), e), (2), (3) b) GDPR"
ITALY,2025-03-13,"20,000","Art. 5 (1) a), c), e) GDPR, Art. 6 GDPR, Art. 17 GDPR"
ITALY,2025-03-13,"40,000","Art. 5 (1) a), b) GDPR, Art. 6 (1) a) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 21 GDPR"
ITALY,2025-03-13,"2,000","Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR"
SPAIN,2025-04-24,"1,500","Art. 5 (1) c) GDPR, Art. 9 GDPR, The Spanish DPA imposed a fine on ULPIA TRAJANA ALAMEDA S.L. During the booking process, the controller processed data that was unnecessary for the purpose, infringing on the principle of data minimization. The data processed also included biometric data (Art. 9 GDPR) for which the controller lacked a sufficient legal basis. The original fine of EUR 2,500 was reduced to EUR 1,500 due to immediate payment and admission of responsibility by the controller."
ITALY,2025-04-29,"50,000","Art. 5 (1) a), c), e) GDPR, Art. 6 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 35 GDPR, Art. 88 GDPR"
ITALY,2025-03-27,"3,000","Art. 37 (1), (7) GDPR"
